img_id,label,xmin,xmax,ymin,ymax
285,23,1.43,586,68.81,632.75
724,13,120.07,254.56,71.83,224.91
724,8,123.39,145.13,279.44,309.61
724,3,128.26,141.14,267.21,275.36
724,13,202.38,221.39,259.9,285.96
776,88,1.44,345.95,56.22,527.57
776,88,2.88,320,278.2,632.79
776,88,94.92,427.15,5.75,550.83
776,65,1.43,428,0.14,640
785,1,280.79,499.49,44.73,391.41
785,35,205.34,615.06,362.21,400.41
802,82,245.05,410.81,185.23,541.26
802,79,33.08,159.64,289.08,520.63
872,37,408.03,427.41,172.04,188.57
872,1,145.26,437.21,100.67,558.02
872,1,163.73,429.42,126.42,606.82
872,40,368.64,426.09,157.25,203.03
1296,77,299.46,371.18,143.38,278.68
1296,85,371.53,389.06,408.26,424.87
1296,1,7.16,427,1.57,635.84
1296,1,262.64,409.6,25.32,238.65
1425,54,64.29,440.83,184.96,403.08
1425,51,486.74,640,182.53,383.43
1490,1,448.87,499.77,118.36,241.19
1490,42,359.22,578.11,230.29,245.32
1675,17,0,640,14.01,307.57
1675,76,61.48,569.53,367.82,473.53
1818,24,178.04,640,1.44,425
1818,24,0,637.98,1.04,425
1993,65,258.93,614.85,194.91,414.29
1993,62,109.22,227.86,250.46,408.64
1993,62,0,35.15,298.68,408
1993,67,0.04,154.43,251.11,419
2149,51,0,639.06,71.01,421.24
2149,53,96.45,339.59,94.44,325.52
2261,1,283.65,381.99,152.28,271.73
2261,42,265.07,351.75,250.65,296.12
2532,1,182.96,284.47,305.48,473.94
2532,35,206.17,266.31,443.28,491.96
2587,52,52.24,450.38,0.76,357.74
2587,60,172.3,417.23,10.98,266.05
2592,67,0.82,637.63,0.92,361.17
2592,47,222.89,432.62,34.54,247.56
2592,49,27.84,616.83,216.86,314.95
3156,1,4.32,366.13,15.86,635.68
3156,81,0,61.01,162.95,223.88
3156,70,255.43,443,248.26,615.53
3501,56,125.28,263.52,67.68,223.2
3501,56,74.88,257.76,174.24,361.44
3501,51,12.38,603.75,8.25,583.12
3553,1,153.26,420.25,0.72,308.2
3553,41,186.69,367.64,262.44,371.58
3661,52,61.27,553.13,0,348.62
3661,76,0,115.63,163.09,207.1
3661,47,567.52,640,19.95,240.37
4395,32,176.9,273.26,275.06,631.73
4395,1,1.44,425,1.44,638.56
4495,72,189.82,261.88,111.18,178.59
4495,63,201.58,497.88,198.92,375
4495,62,4.19,154.36,148.57,327.26
4765,1,212.09,403.54,126.8,385.39
4765,42,257.4,540.81,335.57,423.19
4795,17,152.77,548.13,113.55,477.94
4795,73,0,174.74,192,474.61
4795,72,19.95,640,2.49,351.58
5060,77,231.04,242.71,370.54,389.39
5060,1,159.19,324.35,309.5,498.4
5477,5,9.43,631.19,105.72,288.87
5477,5,51.4,301.84,249.06,277.15
5503,70,34.83,275.28,178.65,473.03
5529,1,79.1,256,116.49,450.16
5529,35,100.85,188.08,403.65,442.42
5600,50,89.24,210.92,95.73,241.75
5600,51,212.07,538.26,138.09,361
5600,51,123.31,374.79,1.68,181.77
6012,52,328.15,548.9,25.06,502.36
6012,52,98.7,306.11,23.53,504.55
6213,81,406.37,496.75,253.32,286.88
6213,81,589.33,640,292.78,312.86
6460,42,276.27,285.88,138.54,230.84
6460,1,277.45,332.1,137.66,207.23
6614,53,18.59,482.45,40.53,251.54
6614,55,122.99,306.55,68.02,250.64
6818,70,186.97,287.64,471.83,527.92
6894,1,293.39,640,20.49,480
6894,22,0,638.56,86.29,474.61
7088,28,82.37,304.16,173.35,268.72
7088,8,229.66,369.27,152.05,187.99
7088,1,179.05,276.78,208.22,462.51
7088,3,47.29,59.11,181.92,191.73
7278,1,189.78,311.63,59.41,154.3
7278,42,283.77,337.65,57.93,119.29
7784,38,93.96,334.37,86.13,306.22
7795,65,0.96,454.76,191.43,418.34
7795,65,163.72,483.49,189.52,311.11
7795,85,133.18,141.73,245.94,258.56
7795,75,625.52,639.84,256.08,261.25
7888,85,184.09,302.02,250.25,417.08
7888,85,319.08,470.13,242.77,403.43
7991,49,0.81,147.63,157.31,257.35
7991,57,170.63,480.64,70.11,339.57
7991,49,6.53,151.06,115.63,159.45
8532,32,418.34,498.76,370.48,426
8532,1,155.89,640,9.59,426
8899,11,140.66,180.57,398.37,493.85
8899,2,23.63,73.48,346.08,450.09
9448,28,1.44,549.39,1,392.19
9448,1,128,382.34,101.4,631.69
9772,72,426.66,516.54,91.19,186.75
9772,1,275.58,333.21,230.99,356.41
9772,81,322.91,408.41,378.26,397.32
9772,81,173.64,255.38,379.73,396.15
10363,17,245.51,471.64,108.3,243.98
10363,44,147.18,159.84,28.8,66.41
10363,3,90.83,640,27.17,361
10363,2,492.55,635.9,0,52.9
10583,49,475.22,612,191.44,271.23
10583,67,0,612,0,612
10583,54,220.71,440.34,64.1,209.74
10583,54,90.44,479.35,135.16,472.82
10764,1,218.53,483.62,80.77,395.61
10764,40,388.9,483.76,210.67,278.02
10977,70,240.55,300.48,255.75,339.56
10977,81,343.54,418.4,213.86,253.47
10995,65,107.38,640,212.72,474.73
11051,32,195.45,256.61,197.97,424.6
11051,1,249.33,634.77,77.09,536
11051,1,7.23,393.87,2.41,527.57
11122,13,250.39,329.95,162.53,244.48
11615,8,289.61,355.42,165.63,203.29
11760,24,453.65,605.51,87.87,418.31
11760,24,268.9,388.03,100.52,396.24
11760,24,35.26,215.36,99.1,387.84
11813,62,0.96,94.58,332.73,390.55
11813,73,0.23,168.71,386.85,467.35
12062,20,130.68,565.96,70.4,279.3
12062,20,0,270.89,174.53,422.47
12062,20,344.48,640,292.66,418.36
12062,37,601.58,640,58.61,131.86
12667,52,283.84,447.61,48.74,290.03
12748,19,1.37,241.72,50.36,555.77
12748,1,217.17,480,188.4,632.81
12748,1,220.99,480,138.62,632.25
13004,52,44.71,343.53,72.94,290.59
13004,67,1.13,375,6.76,484.23
13177,2,269.97,381.09,2.98,198.58
13177,4,0,240.85,14.39,422.2
13177,1,301.86,616.14,61.14,412.67
13201,1,93.41,319.55,86.99,510.31
13201,41,107.9,175.98,427.13,523.18
13597,61,69.72,531.01,29.61,420.22
13597,67,0,639.89,0,420.22
13774,1,270.37,301.61,281.95,368.27
13774,34,235.78,253.02,209.66,227.42
