img_id,label,xmin,xmax,ymin,ymax
285.0,23.0,0.0,553.79,73.6,687.67
285.0,23.0,0.0,644.4,70.21,616.72
285.0,23.0,0.0,573.96,63.41,569.76
285.0,23.0,0.0,625.27,65.19,581.69
285.0,23.0,0.0,553.62,71.88,631.11
285.0,23.0,0.0,622.88,70.71,660.55
285.0,23.0,0.0,533.8,63.43,618.85
285.0,23.0,0.0,568.36,67.51,569.83
285.0,23.0,0.0,576.71,73.25,658.42
285.0,23.0,0.0,561.08,68.87,609.0
285.0,23.0,0.0,556.22,71.84,626.4
285.0,23.0,0.0,631.88,75.27,686.41
285.0,23.0,0.0,613.11,71.31,648.14
285.0,23.0,0.0,592.07,69.82,632.11
285.0,23.0,0.0,575.37,69.21,624.87
285.0,23.0,0.0,606.7,66.07,637.2
285.0,23.0,0.0,556.53,67.38,682.68
285.0,23.0,0.0,637.38,75.01,649.91
285.0,23.0,0.0,578.95,67.31,653.78
724.0,13.0,119.84,244.28,68.07,227.21
724.0,13.0,124.35,246.91,67.44,234.86
724.0,13.0,116.45,257.56,76.17,233.9
724.0,13.0,119.47,268.14,72.18,229.89
724.0,13.0,122.7,246.56,78.5,226.41
724.0,13.0,114.21,270.16,77.11,225.63
724.0,13.0,111.94,248.1,69.22,239.42
724.0,13.0,111.66,233.45,69.28,205.35
724.0,13.0,128.49,260.94,72.06,220.33
724.0,13.0,129.36,277.85,69.54,220.89
724.0,13.0,121.73,266.25,65.31,247.0
724.0,13.0,134.78,231.46,72.71,238.76
724.0,13.0,135.43,239.85,76.09,215.85
724.0,13.0,116.66,260.76,71.88,236.87
724.0,13.0,129.18,276.21,77.97,220.2
724.0,13.0,119.97,272.93,74.2,240.11
724.0,13.0,121.66,273.64,69.33,220.52
724.0,13.0,128.65,272.62,70.08,203.36
724.0,13.0,125.48,242.28,65.94,218.79
724.0,13.0,120.03,229.58,75.86,242.66
724.0,13.0,128.11,231.25,76.43,220.84
724.0,13.0,115.02,272.67,66.98,216.36
724.0,13.0,118.33,243.21,71.21,224.15
724.0,13.0,110.68,238.36,69.48,237.52
724.0,13.0,121.7,258.45,75.49,217.76
724.0,13.0,110.15,245.99,74.76,244.27
724.0,13.0,127.38,256.03,74.54,211.45
724.0,13.0,110.81,266.74,76.95,215.27
724.0,13.0,109.21,264.19,70.63,216.19
724.0,13.0,115.74,241.01,71.54,223.04
724.0,13.0,116.58,248.55,77.21,228.73
724.0,13.0,129.34,270.05,75.91,224.75
724.0,13.0,128.53,260.99,65.17,217.13
724.0,13.0,126.05,234.68,67.08,243.89
724.0,13.0,127.16,261.92,70.71,240.12
724.0,13.0,118.71,243.07,73.27,236.98
724.0,13.0,112.94,265.37,77.43,208.31
724.0,13.0,116.54,265.76,75.49,247.72
724.0,8.0,99.23,155.62,296.74,315.67
724.0,8.0,106.05,156.16,296.34,308.59
724.0,8.0,97.57,141.02,266.83,300.68
724.0,8.0,108.58,146.56,291.82,293.4
724.0,8.0,93.9,148.56,257.0,284.02
724.0,8.0,103.02,145.22,247.19,315.01
724.0,8.0,100.6,136.85,246.78,339.65
724.0,8.0,90.78,146.58,260.49,297.45
724.0,8.0,100.07,154.0,253.59,322.04
724.0,8.0,104.75,144.31,259.19,340.7
776.0,88.0,113.66,425.04,7.18,596.62
776.0,88.0,122.94,385.71,6.42,504.54
776.0,88.0,124.04,447.12,7.57,499.82
776.0,88.0,119.53,410.05,7.17,493.27
776.0,88.0,114.4,429.84,7.15,513.23
776.0,88.0,127.26,385.56,7.49,532.55
776.0,88.0,119.2,399.35,7.07,585.46
776.0,88.0,132.35,431.36,7.24,552.77
776.0,88.0,127.4,387.18,7.18,584.12
776.0,88.0,135.67,420.28,7.0,514.42
776.0,88.0,123.5,448.35,6.92,509.76
776.0,88.0,133.33,442.77,7.16,490.94
776.0,88.0,113.08,413.74,6.55,529.56
776.0,88.0,3.94,283.76,265.69,606.91
776.0,88.0,3.98,317.92,248.91,577.13
776.0,88.0,4.14,287.87,274.26,678.89
776.0,88.0,4.41,305.3,266.95,605.44
776.0,88.0,3.9,332.02,287.33,594.12
776.0,88.0,4.27,323.42,249.94,581.93
776.0,88.0,4.7,327.92,252.42,581.61
776.0,88.0,3.93,279.59,251.53,695.25
776.0,88.0,4.2,278.62,238.25,696.41
776.0,88.0,4.59,318.46,249.79,635.9
776.0,88.0,4.5,330.18,247.81,625.13
776.0,88.0,4.47,322.29,271.77,671.01
776.0,88.0,4.38,289.5,256.35,571.4
785.0,1.0,253.44,478.1,34.93,356.85
785.0,1.0,269.79,458.56,37.53,421.0
785.0,1.0,264.29,548.83,33.19,395.78
785.0,1.0,285.69,522.73,34.69,415.61
785.0,1.0,286.54,468.49,32.52,365.19
785.0,1.0,291.94,503.95,35.52,378.02
785.0,1.0,304.88,486.7,34.83,360.58
785.0,1.0,297.05,548.26,33.48,383.08
785.0,1.0,281.92,486.94,33.79,418.58
785.0,1.0,270.62,478.6,32.31,402.06
785.0,1.0,260.09,454.29,34.85,349.99
785.0,1.0,256.65,549.01,34.92,423.45
785.0,1.0,304.06,505.4,37.96,416.07
785.0,1.0,301.04,505.69,35.04,374.42
785.0,1.0,262.88,501.3,38.0,422.73
785.0,1.0,280.76,538.34,31.96,359.5
785.0,1.0,291.91,542.92,34.76,413.33
785.0,1.0,273.77,528.28,37.8,410.27
785.0,1.0,269.53,538.73,31.56,356.08
785.0,1.0,276.53,516.56,39.31,379.92
785.0,1.0,274.98,534.84,37.43,405.87
785.0,1.0,283.44,551.87,36.16,420.38
785.0,1.0,251.35,469.71,38.0,377.86
785.0,1.0,271.05,496.36,34.71,353.15
785.0,1.0,285.75,517.14,38.69,390.66
785.0,1.0,259.43,516.08,38.0,357.74
785.0,1.0,285.58,485.06,37.99,360.84
785.0,1.0,279.7,538.93,37.33,370.84
785.0,1.0,284.51,484.32,37.13,394.32
785.0,1.0,287.82,522.38,34.21,418.06
785.0,1.0,262.61,489.4,35.28,359.71
785.0,1.0,294.86,516.19,41.53,413.14
785.0,1.0,262.92,505.93,34.34,353.94
785.0,1.0,293.42,479.89,37.72,386.95
785.0,1.0,268.28,502.09,39.42,367.23
785.0,1.0,266.18,458.77,34.53,384.43
785.0,1.0,276.51,516.49,40.41,390.34
785.0,1.0,289.82,514.48,39.34,397.36
802.0,79.0,39.36,171.17,308.48,472.06
802.0,79.0,34.76,153.34,305.66,540.83
802.0,79.0,36.44,173.67,312.36,566.76
802.0,79.0,39.19,172.69,311.9,479.81
802.0,79.0,35.12,161.97,275.7,551.24
802.0,79.0,35.22,165.26,312.49,506.09
802.0,79.0,38.45,153.8,304.62,480.35
802.0,79.0,36.49,175.82,288.41,563.36
802.0,79.0,40.77,155.37,297.14,475.71
802.0,79.0,41.64,146.29,265.81,564.78
802.0,79.0,35.14,175.51,278.37,476.04
802.0,79.0,36.83,170.81,268.18,477.72
802.0,79.0,36.81,172.24,261.93,518.86
802.0,79.0,37.66,171.21,290.43,501.64
802.0,79.0,35.66,162.4,263.67,523.67
802.0,82.0,250.55,424.87,200.05,575.57
802.0,82.0,225.87,385.31,197.12,511.91
802.0,82.0,262.83,428.2,188.51,548.04
802.0,82.0,258.69,382.41,172.86,503.37
802.0,82.0,261.68,434.44,173.09,497.47
802.0,82.0,237.92,425.54,186.89,552.0
802.0,82.0,241.16,377.99,181.32,553.3
802.0,82.0,263.74,380.3,170.18,487.83
802.0,82.0,242.08,448.35,191.58,526.84
802.0,82.0,220.66,386.48,180.9,510.22
802.0,82.0,243.25,394.99,193.9,555.59
802.0,82.0,241.69,380.62,183.4,482.7
802.0,82.0,255.68,385.45,189.33,492.55
802.0,82.0,233.64,377.9,191.29,514.51
872.0,1.0,145.75,451.16,138.6,622.03
872.0,1.0,142.32,450.76,128.94,562.07
872.0,1.0,148.19,454.08,124.89,651.48
872.0,1.0,152.01,439.2,117.75,585.82
872.0,1.0,157.66,396.57,134.63,554.55
872.0,1.0,165.78,444.0,127.77,638.04
872.0,1.0,160.85,392.74,121.04,574.34
872.0,1.0,170.05,374.51,138.4,547.29
872.0,1.0,156.05,392.46,123.21,628.72
872.0,1.0,171.42,372.87,124.22,629.02
872.0,1.0,164.49,390.52,118.19,625.19
872.0,1.0,168.8,443.68,126.84,642.83
872.0,1.0,149.11,440.94,121.09,636.59
872.0,1.0,160.29,445.45,124.77,661.83
872.0,1.0,170.38,438.56,118.36,625.78
872.0,1.0,149.44,373.42,121.52,558.39
872.0,1.0,146.1,424.38,129.46,633.66
872.0,1.0,165.89,401.61,134.16,553.33
872.0,1.0,268.09,394.4,119.33,504.45
872.0,1.0,275.44,445.05,117.97,601.69
872.0,1.0,240.6,397.24,104.55,607.42
872.0,1.0,276.3,464.01,108.91,536.89
872.0,1.0,273.65,394.3,106.73,538.28
872.0,1.0,244.67,430.02,115.1,516.82
872.0,1.0,269.89,403.16,105.57,574.32
872.0,1.0,282.12,420.97,109.46,511.76
872.0,1.0,288.97,474.86,117.18,514.96
872.0,1.0,277.54,452.38,102.48,541.0
872.0,1.0,247.27,431.6,104.29,546.17
872.0,1.0,241.02,457.0,108.71,506.83
1296.0,1.0,4.05,392.83,0.0,674.18
1296.0,1.0,4.6,409.23,0.0,638.22
1296.0,1.0,4.36,402.8,0.0,643.39
1296.0,1.0,4.63,450.98,0.0,594.68
1296.0,1.0,4.11,394.94,0.0,588.42
1296.0,1.0,4.25,467.4,0.0,679.67
1296.0,1.0,4.42,444.32,0.0,656.91
1296.0,1.0,4.64,407.9,0.0,679.44
1296.0,1.0,4.32,442.42,0.0,657.41
1296.0,1.0,4.42,400.0,0.0,639.36
1296.0,1.0,4.17,461.46,0.0,688.35
1296.0,1.0,4.23,400.56,0.0,591.36
1296.0,1.0,4.11,389.79,0.0,583.42
1296.0,1.0,3.93,434.49,0.0,662.61
1296.0,1.0,4.07,444.58,0.0,623.14
1296.0,1.0,3.87,403.58,0.0,573.75
1296.0,1.0,4.65,407.03,0.0,647.81
1296.0,1.0,4.57,447.86,0.0,656.97
1296.0,1.0,4.23,422.51,0.0,613.82
1296.0,77.0,322.15,392.83,137.1,294.76
1296.0,77.0,306.51,338.83,136.42,283.94
1296.0,77.0,298.99,342.59,144.8,292.83
1296.0,77.0,315.07,361.16,136.34,283.51
1296.0,77.0,276.11,380.13,148.37,297.08
1296.0,77.0,286.6,403.09,145.74,257.46
1296.0,77.0,267.62,357.02,134.3,290.15
1296.0,77.0,311.61,374.68,134.54,264.46
1296.0,77.0,313.89,381.41,145.24,265.89
1296.0,77.0,271.26,407.71,138.78,283.19
1296.0,77.0,280.5,367.51,128.47,274.19
1296.0,77.0,293.26,395.05,151.46,279.54
1296.0,77.0,305.06,407.03,150.94,259.4
1296.0,77.0,268.56,335.78,148.16,280.51
1296.0,77.0,316.75,373.71,149.1,296.85
1296.0,1.0,287.26,384.68,15.07,199.66
1296.0,1.0,253.13,390.93,14.91,204.28
1296.0,1.0,254.59,388.76,15.07,205.05
1296.0,1.0,257.3,435.64,16.86,193.7
1296.0,1.0,289.17,369.26,14.86,232.66
1296.0,1.0,248.47,416.76,14.43,208.91
1296.0,1.0,246.36,384.9,16.4,197.02
1296.0,1.0,250.98,413.33,15.05,213.73
1296.0,1.0,283.05,418.86,15.77,198.46
1296.0,1.0,249.13,446.49,15.13,225.14
1296.0,1.0,244.72,448.53,17.04,224.58
1296.0,1.0,259.65,398.36,14.7,234.78
1425.0,61.0,62.66,446.88,161.66,408.03
1425.0,61.0,61.14,415.35,167.02,411.69
1425.0,61.0,65.51,398.77,167.55,411.03
1425.0,61.0,68.27,405.03,159.68,422.4
1425.0,61.0,63.52,418.39,163.75,411.19
1425.0,61.0,56.45,410.95,160.56,429.41
1425.0,61.0,57.84,421.89,183.01,401.26
1425.0,61.0,57.94,416.58,163.9,420.34
1425.0,61.0,62.18,460.35,184.78,422.8
1425.0,61.0,61.33,428.15,190.81,411.75
1425.0,61.0,57.34,473.28,160.79,370.33
1425.0,61.0,61.32,443.01,181.98,431.34
1425.0,61.0,67.4,410.53,161.0,414.54
1425.0,61.0,68.58,443.74,182.44,409.54
1425.0,61.0,66.78,462.65,177.09,363.62
1425.0,47.0,447.27,691.73,221.8,387.51
1425.0,47.0,490.91,640.85,202.44,366.24
1425.0,47.0,541.62,609.22,202.53,395.27
1425.0,47.0,470.99,643.64,209.55,411.12
1425.0,47.0,541.83,658.66,192.74,380.6
1425.0,47.0,503.87,648.72,219.92,399.78
1425.0,47.0,454.16,609.82,223.37,370.99
1425.0,47.0,473.44,611.25,205.8,337.61
1425.0,47.0,479.76,612.81,191.42,393.25
1425.0,47.0,456.81,587.8,198.63,401.6
1425.0,47.0,496.95,676.54,213.46,382.69
1490.0,1.0,407.81,452.49,122.26,230.62
1490.0,1.0,479.89,528.26,132.26,249.85
1490.0,1.0,420.04,478.76,109.16,241.71
1490.0,1.0,452.52,467.16,118.65,250.49
1490.0,1.0,495.52,524.66,131.9,239.6
1490.0,1.0,407.05,506.22,116.72,260.94
1490.0,1.0,465.15,543.09,130.52,230.1
1490.0,1.0,450.9,458.83,123.77,223.53
1490.0,1.0,409.89,483.0,114.82,263.73
1490.0,1.0,462.23,467.94,114.33,237.14
1490.0,1.0,449.14,493.83,123.35,252.67
1490.0,1.0,408.48,530.17,128.79,250.02
